epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4500.62,0.74534,0.43188,0.86977,0.95521,0.95855,0.98288,0.78986,0.75263,0.37117,0.88643,0.000115115,0.000115115,0.000115115
43,4606.46,0.7337,0.42821,0.87154,0.9444,0.97732,0.98279,0.79471,0.75192,0.36938,0.88887,0.00011243,0.00011243,0.00011243
44,4712.57,0.74141,0.42697,0.87648,0.9511,0.96721,0.98474,0.79507,0.74628,0.36814,0.88726,0.000109724,0.000109724,0.000109724
45,4818.3,0.73518,0.42138,0.86919,0.95371,0.97364,0.98591,0.79898,0.74237,0.36709,0.88089,0.000106998,0.000106998,0.000106998
46,4924.01,0.72207,0.41948,0.8664,0.96155,0.96636,0.98989,0.79716,0.74488,0.36447,0.8871,0.000104256,0.000104256,0.000104256
47,5030.83,0.72315,0.41875,0.86721,0.95021,0.9658,0.9841,0.79387,0.74317,0.36304,0.88286,0.0001015,0.0001015,0.0001015
48,5136.57,0.72285,0.41412,0.86763,0.95829,0.97975,0.98395,0.79373,0.74103,0.35973,0.88619,9.87335e-05,9.87335e-05,9.87335e-05
49,5242.32,0.72659,0.41666,0.86133,0.95574,0.97545,0.9862,0.798,0.74173,0.36079,0.8824,9.59586e-05,9.59586e-05,9.59586e-05
50,5348.7,0.71651,0.40653,0.86166,0.95882,0.97418,0.98696,0.79523,0.73976,0.36158,0.88028,9.31782e-05,9.31782e-05,9.31782e-05
51,5453.59,0.72002,0.40309,0.85792,0.92217,0.98859,0.98693,0.80177,0.73222,0.35871,0.88113,9.0395e-05,9.0395e-05,9.0395e-05
52,5561.4,0.70383,0.39963,0.86093,0.95812,0.98144,0.9855,0.7974,0.72932,0.35183,0.87889,8.76118e-05,8.76118e-05,8.76118e-05
53,5668.26,0.7127,0.40137,0.86298,0.96018,0.97226,0.9875,0.79622,0.73036,0.35346,0.88133,8.48314e-05,8.48314e-05,8.48314e-05
54,5774.91,0.69976,0.39685,0.85946,0.96549,0.97134,0.98441,0.80113,0.73387,0.3553,0.88221,8.20565e-05,8.20565e-05,8.20565e-05
55,5880.09,0.70712,0.39365,0.86128,0.96913,0.97137,0.98536,0.80302,0.72938,0.34935,0.88163,7.92898e-05,7.92898e-05,7.92898e-05
56,5985.77,0.70538,0.39415,0.86248,0.94721,0.97598,0.98569,0.79998,0.72964,0.35036,0.87664,7.65341e-05,7.65341e-05,7.65341e-05
57,6090.8,0.69836,0.38753,0.85481,0.94534,0.97557,0.98457,0.79856,0.7272,0.35103,0.87917,7.37921e-05,7.37921e-05,7.37921e-05
58,6196.38,0.69346,0.39,0.8614,0.95359,0.97051,0.98383,0.80069,0.72596,0.3503,0.87727,7.10664e-05,7.10664e-05,7.10664e-05
59,6304.17,0.68834,0.38578,0.85753,0.9524,0.97159,0.98384,0.79745,0.73306,0.3511,0.88148,6.83598e-05,6.83598e-05,6.83598e-05
